R,S,T,U,V,W,Temperature,Dilution_Percent,Medicine_Name,Effectiveness_Score,Reading_ID
80,20,35,15,45,10,36.5,50,Aspirin,85,1001
75,25,30,18,40,12,37.2,60,Ibuprofen,90,1002
82,18,37,16,42,11,36.8,45,Paracetamol,88,1003
78,22,32,17,44,13,37.5,55,Acetaminophen,82,1004
85,15,40,14,48,9,36.9,70,Naproxen,92,1005
81,19,36,19,41,10,37.1,52,Aspirin,87,1006
77,23,31,20,39,14,37.4,65,Ibuprofen,89,1007
83,17,38,15,43,12,36.7,48,Paracetamol,86,1008
79,21,33,18,45,11,37.3,58,Acetaminophen,84,1009
86,14,42,13,49,8,36.6,75,Naproxen,95,1010
84,16,39,17,46,10,37.0,50,Aspirin,86,1011
76,24,34,19,38,13,37.6,62,Ibuprofen,91,1012
80,20,35,16,42,11,36.9,47,Paracetamol,87,1013
78,22,31,18,44,12,37.2,54,Acetaminophen,83,1014
82,18,37,15,41,10,36.8,59,Naproxen,90,1015
85,15,40,14,48,9,37.1,68,Aspirin,89,1016
77,23,32,20,40,14,37.5,72,Ibuprofen,93,1017
83,17,38,16,43,11,36.7,53,Paracetamol,88,1018
79,21,33,17,45,12,37.4,56,Acetaminophen,85,1019
86,14,42,13,49,8,36.6,78,Naproxen,96,1020
84,16,39,18,47,10,37.0,51,Aspirin,87,1021
76,24,34,19,38,13,37.6,63,Ibuprofen,92,1022
80,20,35,16,42,11,36.9,46,Paracetamol,89,1023
78,22,31,17,44,12,37.2,55,Acetaminophen,84,1024
82,18,37,15,41,10,36.8,60,Naproxen,91,1025
85,15,40,14,48,9,37.1,69,Aspirin,90,1026
77,23,32,20,40,14,37.5,73,Ibuprofen,94,1027
83,17,38,16,43,11,36.7,54,Paracetamol,89,1028
79,21,33,18,45,12,37.4,57,Acetaminophen,86,1029
86,14,42,13,49,8,36.6,79,Naproxen,97,1030
84,16,39,17,47,10,37.0,52,Aspirin,88,1031
76,24,34,19,38,13,37.6,64,Ibuprofen,93,1032
80,20,35,16,42,11,36.9,45,Paracetamol,90,1033
78,22,31,17,44,12,37.2,56,Acetaminophen,85,1034
82,18,37,15,41,10,36.8,61,Naproxen,92,1035
85,15,40,14,48,9,37.1,70,Aspirin,91,1036
77,23,32,20,40,14,37.5,74,Ibuprofen,95,1037
83,17,38,16,43,11,36.7,55,Paracetamol,90,1038
79,21,33,18,45,12,37.4,58,Acetaminophen,87,1039
86,14,42,13,49,8,36.6,80,Naproxen,98,1040
84,16,39,17,47,10,37.0,53,Aspirin,89,1041
76,24,34,19,38,13,37.6,65,Ibuprofen,94,1042
80,20,35,16,42,11,36.9,44,Paracetamol,91,1043
78,22,31,17,44,12,37.2,57,Acetaminophen,86,1044
82,18,37,15,41,10,36.8,62,Naproxen,93,1045
85,15,40,14,48,9,37.1,71,Aspirin,92,1046
77,23,32,20,40,14,37.5,75,Ibuprofen,96,1047
83,17,38,16,43,11,36.7,56,Paracetamol,91,1048
79,21,33,18,45,12,37.4,59,Acetaminophen,88,1049
86,14,42,13,49,8,36.6,81,Naproxen,99,1050
